epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,460.345,0.60639,0.79564,0.93354,0.86845,0.73452,0.77987,0.63951,0.71639,1.20022,1.02338,0.00996898,0.00996898,0.00996898
96,464.971,0.53034,0.77853,0.89072,0.88135,0.70942,0.77359,0.6448,0.67075,1.19952,0.98189,0.00996865,0.00996865,0.00996865
97,469.548,0.55672,0.78503,0.88651,0.88135,0.70942,0.77359,0.6448,0.67075,1.19952,0.98189,0.00996832,0.00996832,0.00996832
98,474.211,0.52661,0.76206,0.85672,0.88039,0.69666,0.7709,0.61888,0.75408,1.20561,1.03745,0.00996799,0.00996799,0.00996799
99,479.063,0.61286,0.77648,0.8895,0.84434,0.69415,0.77458,0.65485,0.69433,1.23638,1.02545,0.00996766,0.00996766,0.00996766
100,483.732,0.62314,0.79084,0.90036,0.84825,0.73222,0.77356,0.66144,0.70919,1.27885,1.04454,0.00996733,0.00996733,0.00996733
101,488.348,0.61336,0.85917,0.9262,0.84825,0.73222,0.77356,0.66144,0.70919,1.27885,1.04454,0.009967,0.009967,0.009967
102,493.077,0.60197,0.79821,0.91427,0.83637,0.73452,0.77511,0.68615,0.66063,1.36588,1.02581,0.00996667,0.00996667,0.00996667
103,497.858,0.54072,0.76773,0.90737,0.83828,0.75361,0.7914,0.6295,0.75106,1.24718,1.05299,0.00996634,0.00996634,0.00996634
104,502.572,0.5538,0.78408,0.91846,0.73075,0.78214,0.79755,0.6754,0.62362,1.15733,0.98019,0.00996601,0.00996601,0.00996601
105,507.194,0.57094,0.71865,0.89377,0.73075,0.78214,0.79755,0.6754,0.62362,1.15733,0.98019,0.00996568,0.00996568,0.00996568
106,511.848,0.54904,0.70314,0.90506,0.76977,0.80181,0.7939,0.65865,0.69917,1.24694,1.01922,0.00996535,0.00996535,0.00996535
107,516.523,0.58407,0.75706,0.89982,0.7689,0.78214,0.78972,0.67898,0.57321,1.18802,0.9846,0.00996502,0.00996502,0.00996502
108,521.142,0.58914,0.85438,0.93999,0.80115,0.72762,0.78999,0.66952,0.61033,1.11479,0.97334,0.00996469,0.00996469,0.00996469
109,525.763,0.56746,0.85004,0.88956,0.80115,0.72762,0.78999,0.66952,0.61033,1.11479,0.97334,0.00996436,0.00996436,0.00996436
110,530.459,0.54801,0.74991,0.90388,0.71075,0.76035,0.78339,0.6683,0.58595,1.18887,0.98597,0.00996403,0.00996403,0.00996403
111,535.161,0.52505,0.68434,0.883,0.7683,0.74232,0.766,0.63758,0.6343,1.30745,1.00121,0.0099637,0.0099637,0.0099637
